test_name,short_description,clinical_overview
IMCAP OREGANO (F283),This test measures a specific biological marker that helps assess how certain bodily systems are functioning. Results assist healthcare providers in evaluating general physiological balance.,"This assay analyzes the level of a proprietary marker to help evaluate metabolic or functional status within the body. Physicians may order this test when they need additional information regarding overall physiological balance, often based on symptoms or physical exam findings. The results are interpreted by a doctor and can suggest whether certain bodily processes may be altered. Abnormal levels of this marker indicate that further investigation is needed, but these results cannot diagnose a specific condition alone."
IMCAP OVOMUCOID (F233),This test measures a specific protein marker found in mucus. It helps determine if there is evidence of inflammation or infection in the respiratory tract.,"The IMCAP OVOMUCOID assay detects levels of a particular biomarker within mucosal secretions, such as those collected via swab. This testing is ordered to evaluate for localized inflammatory processes or specific infectious agents affecting the airways. Elevated results may suggest active inflammation or infection in the respiratory tract, but they do not confirm a diagnosis on their own. The findings are interpreted by a healthcare provider alongside your symptoms and physical examination to guide appropriate treatment."
IMCAP PAPRIKA (F218),This test measures specific components in your blood that help assess how certain bodily systems are functioning. It is used to provide information about metabolic pathways and overall health status.,"The IMPCAP PAPRIKA panel analyzes several markers found in the blood to evaluate various metabolic processes within the body. Physicians typically order this test when they need a detailed picture of how different internal systems, such as liver or kidney function, are working together. The results help guide diagnosis and determine if further testing is needed; for example, abnormal levels might indicate impaired nutrient processing or inflammation. It is important to note that these results must be interpreted by your healthcare provider alongside your symptoms and medical history."
IMCAP PINEAPPLE (F210),This test measures specific substances found in pineapple to check for potential allergic reactions or sensitivities. A positive result suggests your body may react to components from this fruit.,"This laboratory test detects markers related to components within pineapple. It is typically ordered when a patient presents with symptoms such as skin rashes, digestive upset, or difficulty breathing after consuming the fruit. The results help determine if an allergic reaction or sensitivity exists, which can guide necessary dietary changes or treatment plans. A positive result indicates that your body may be reacting to these substances, but this test alone cannot diagnose all causes of symptoms."
VDRL SERUM,This blood test measures antibodies that can indicate a current or past syphilis infection. It helps healthcare providers monitor for signs of this sexually transmitted condition.,"The VDRL test analyzes the serum portion of your blood to detect antibodies against cardiolipin, which are substances released into the bloodstream when there is tissue damage. This test is used primarily to screen for and monitor syphilis infection. Results are reported as titers, which indicate the level of these antibodies present in the blood. A positive result suggests exposure to the bacteria but does not confirm a diagnosis on its own; it must be interpreted by a doctor alongside your symptoms and medical history. If positive, further testing is needed to determine if treatment is required."
LEAD W/OSHA (B),"This test measures the amount of lead in your blood. It helps determine if you have been exposed to high levels of lead, often from environmental or occupational sources.","The Lead level test quantifies the concentration of lead metal found in the bloodstream. This test is ordered when a person may have been exposed to elevated amounts of lead through environmental contact, such as old paint, contaminated dust, or specific occupations. Elevated levels suggest that the body has absorbed significant amounts of lead and require further medical evaluation. High blood lead concentrations can be toxic and are associated with various health concerns, particularly affecting the nervous system. The results help healthcare providers determine if protective measures or treatments are necessary to reduce the body's lead burden."
VITAMIN B12 (REFL),This test measures the amount of Vitamin B12 in your blood. It helps determine if your body has sufficient levels of this essential nutrient.,"Vitamin B12 is an important vitamin necessary for healthy nerve function and the proper formation of red blood cells. This quantitative test measures the concentration of B12 circulating in the blood to assess nutritional status. Physicians may order this test if symptoms suggest a deficiency, such as fatigue or numbness, or if there are concerns about poor nutrient absorption. Low levels can indicate dietary insufficiency or issues with how the body absorbs the vitamin. The results help guide treatment decisions regarding supplementation or addressing underlying causes."
LDH TOTAL (REFL),"This test measures the activity of Lactate Dehydrogenase (LDH), an enzyme found in many body tissues. High levels can suggest damage or breakdown of cells in various organs.","Lactate dehydrogenase (LDH) is an enzyme that naturally exists in high concentrations within most types of cells, including those in the heart, liver, and muscles. This blood test measures the total activity of this enzyme to help evaluate potential tissue damage or cell breakdown. Elevated LDH levels indicate that many cells may be damaged or dying, but they do not pinpoint the exact cause. Because LDH is released by multiple organs, doctors use these results alongside a patient's symptoms, medical history, and physical exam findings to narrow down the possible source of the problem."
Sex Hormone Binding Globulin (SHBG),"This test measures Sex Hormone Binding Globulin (SHBG), a protein in your blood that carries sex hormones like estrogen and testosterone. It helps doctors estimate how much of these hormones are available to your body's tissues.","Sex Hormone Binding Globulin (SHBG) is a protein produced by the liver that circulates in the bloodstream, acting as a carrier for various sex hormones, including estrogen and testosterone. When hormones bind to SHBG, they are temporarily inactive. This test measures the level of this binding protein to help doctors assess overall hormonal balance. Physicians may order this test when evaluating symptoms related to hormone levels or investigating potential issues with thyroid function. Abnormal results can suggest changes in liver function or metabolic conditions that affect how your body manages sex hormones."
CARBOXYHEMOGLOBIN,"This test measures carboxyhemoglobin in your blood, which shows if hemoglobin has attached to carbon monoxide instead of oxygen.","The carboxyhemoglobin test quantifies the percentage of hemoglobin—the protein in red blood cells that carries oxygen—that is bound to carbon monoxide (CO). This measurement is typically ordered when a person may have been exposed to high levels of CO, such as from vehicle exhaust or faulty heating sources. Elevated levels indicate significant exposure because carboxyhemoglobin reduces the amount of oxygen available for the body's tissues and organs. The results help healthcare providers assess the severity of carbon monoxide poisoning and determine if immediate treatment is necessary."
FSH 2 SPEC,This test measures Follicle-Stimulating Hormone (FSH) levels in your blood. FSH is a hormone that helps regulate the reproductive cycle and assess ovarian function.,"Follicle-Stimulating Hormone (FSH) is a key hormone produced by the pituitary gland that plays a vital role in regulating egg development and the menstrual cycle. This test measures the concentration of FSH in your blood to help evaluate overall reproductive health and estimate ovarian reserve. Elevated levels may suggest that the ovaries are not functioning as expected, while low levels could indicate issues with the pituitary gland itself. The results must be interpreted by a healthcare provider alongside your age, symptoms, medical history, and other test findings."
FSH 3 SPEC,This test measures the level of Follicle-Stimulating Hormone (FSH) in your blood. FSH is a hormone that helps regulate reproductive function.,"Follicle-Stimulating Hormone (FSH) is a hormone produced by the pituitary gland that plays a key role in regulating the reproductive system, affecting both men and women. This test measures the concentration of FSH circulating in your blood to help evaluate hormonal balance. Doctors typically order this test when investigating potential causes of fertility issues or suspected endocrine imbalances. Elevated or low levels may suggest problems with the ovaries, testes, or the pituitary gland itself. The results are interpreted by a healthcare provider alongside your medical history and physical examination findings."
FSH 4 SPEC,"This test measures Follicle-Stimulating Hormone (FSH), a hormone that helps regulate egg development. It is used to evaluate reproductive function and ovarian health.","Follicle-Stimulating Hormone (FSH) is a hormone produced by the pituitary gland that plays a key role in stimulating the ovaries and promoting the maturation of eggs. This blood test measures the amount of FSH present in your bloodstream, which helps healthcare providers evaluate reproductive function and assess ovarian reserve. Elevated levels may suggest that the ovaries are not functioning as expected, while low levels can point to issues with the pituitary gland itself. The results must be reviewed by a doctor alongside your medical history and physical exam findings to determine their overall meaning."
LH 2 SPEC,"This test measures the amount of Luteinizing Hormone (LH) in your blood. This hormone helps regulate reproductive functions, such as ovulation.","Luteinizing Hormone (LH) is a pituitary gland hormone that plays a key role in regulating the menstrual cycle and supporting reproductive health. This test measures the concentration of LH in the bloodstream to evaluate how well the endocrine system is functioning. Elevated or low levels may indicate issues with ovarian function, hormonal imbalances, or other conditions affecting reproduction. Results are interpreted by your healthcare provider alongside your symptoms and medical history to help guide diagnosis."
LH 3 SPEC,"This test measures the amount of Luteinizing Hormone (LH) in your blood. This hormone helps regulate reproductive functions, such as ovulation.","The LH 3 SPEC test measures the concentration of Luteinizing Hormone (LH), a key hormone produced by the pituitary gland. Doctors order this test to evaluate how well the endocrine system and reproductive organs are functioning. Elevated or low levels can help determine if there is an issue with hormone production, which may be related to menstrual cycle irregularities or fertility concerns. The results must always be interpreted alongside your medical history, physical exam findings, and other lab tests, as they provide only one piece of information about overall health."
LH 4 SPEC,"This test measures Luteinizing Hormone (LH), a hormone that helps regulate reproductive cycles and function. It provides a quantitative measure of this hormone in your blood.","The LH 4 SPEC test measures the concentration level of Luteinizing Hormone (LH) in the blood. This hormone is produced by the pituitary gland and plays a key role in regulating the menstrual cycle and reproductive health in both men and women. Physicians typically order this test to evaluate potential hormonal imbalances or when investigating causes of irregular periods, infertility, or other issues related to the endocrine system. The measured levels help healthcare providers determine if LH production is within the expected range for your age and sex; however, these results are only one part of a complete evaluation."
CARBON DIOXIDE,This test measures the amount of carbon dioxide ($ ext{CO}_2$) gas dissolved in your blood. Levels help doctors assess how well your lungs and body are managing acid-base balance.,"This test measures the partial pressure of carbon dioxide ($ ext{PCO}_2$), a key component found in arterial blood. It is used to evaluate the body's overall acid-base status and determine if the respiratory system is functioning correctly. Doctors typically order this when they need to assess how effectively your lungs are removing $ ext{CO}_2$ or if there is an imbalance between acids and bases in the bloodstream. Elevated levels may suggest poor ventilation, while low levels can indicate breathing difficulties. The results help guide treatment for various conditions affecting lung function."
PSA FREE & TOTAL,This blood test measures two forms of Prostate-Specific Antigen (PSA)—total and free—to help doctors evaluate the health of the prostate gland.,"Prostate-Specific Antigen (PSA) is a protein naturally produced by the prostate gland. This test measures both the total amount and the unbound, or 'free,' portion of this protein in your blood. Doctors order this test to assess potential issues with the prostate, such as inflammation, enlargement (benign prostatic hyperplasia), or cancer. Comparing the ratio of free PSA to total PSA can help doctors determine if an elevated level is more likely due to a benign condition or requires further investigation. The results are used alongside physical exam findings and symptoms to guide medical decisions."
CAR AUTOANTIBODY,This test measures autoantibodies—immune proteins that mistakenly target the body's own cells or tissues. Elevated levels may suggest an underlying autoimmune condition.,"The CAR autoantibody test analyzes blood for specific antibodies that have been produced by the immune system against components of the body itself. These 'autoantibodies' indicate that the immune system is incorrectly identifying healthy tissues as foreign invaders. This test is typically ordered to help diagnose or monitor various autoimmune disorders when symptoms are complex or other diagnostic tests are inconclusive. The presence and level of these antibodies can provide information about the activity of an autoimmune process, helping healthcare providers determine if further treatment or management changes are necessary."
"HOMOCYSTEINE, CARDIO","This test measures the level of homocysteine, an amino acid found in your blood. High levels may be associated with increased risk factors for heart and blood vessel problems.","The Homocysteine test measures the concentration of homocysteine, a type of amino acid, in the blood. This measurement is ordered to help evaluate potential risks related to cardiovascular health, including issues with the heart and blood vessels. Elevated levels of homocysteine are associated with an increased risk profile for developing vascular disease. However, this single result does not diagnose any condition; rather, it helps healthcare providers assess overall risk when combined with a patient's medical history, physical exam findings, and other lab results."
SPERM POST-VASECT,"This test checks for the presence of viable sperm in semen after a vasectomy procedure. It confirms that no active sperm are present, indicating successful completion of the procedure.","This test measures whether or not viable sperm cells are detectable in a semen sample following a vasectomy. The primary purpose is to confirm the effectiveness of the surgical procedure by verifying that residual sperm count is zero. A negative result indicates that the vasectomy was successful in preventing future sperm release, which is necessary for confirming sterility. It is important to note that this test must be performed several weeks after the procedure and may require follow-up testing to achieve definitive confirmation."
"Salmonella/Shigella Culture, Campy EIA and Shiga Toxin reflex E.coli O157 Culture","This test detects the presence of specific bacteria, such as Salmonella, Shigella, Campylobacter, and certain strains of E. coli, that can cause stomach infections.","This panel of tests is used to identify potential bacterial causes when a patient presents with symptoms like diarrhea, fever, or abdominal pain suggestive of gastroenteritis. The test analyzes samples for the presence of specific pathogens, including *Salmonella*, *Shigella*, and *Campylobacter* bacteria, as well as certain strains of *E. coli* that produce Shiga toxin. A positive result indicates that these specific organisms were found in the sample; however, this finding must be interpreted alongside the patient's symptoms and medical history to determine the cause of illness. Negative results do not rule out all causes of diarrhea, which can be caused by viruses or other factors."
CERULOPLASMIN,"This test measures the amount of ceruloplasmin, a protein in your blood that helps carry copper. Low levels may suggest issues with how your body processes copper.","Ceruloplasmin is a protein found in the blood that plays a key role in transporting copper throughout the body. This test measures the concentration of this specific protein to help evaluate copper metabolism. Doctors typically order this test when they suspect an underlying disorder affecting copper handling, such as Wilson's disease. Low levels can indicate impaired function or absorption of copper, but these results must be interpreted alongside your symptoms and physical exam findings. The measured value helps guide further diagnostic steps rather than providing a definitive diagnosis alone."
CARBAMAZEPINE TOTAL,This test measures the current level of carbamazepine in your blood. It helps doctors ensure that the medication dose is safe and effective for managing conditions like seizures.,"This test quantifies the total amount of carbamazepine, a common anti-seizure medication, circulating in the bloodstream. The primary purpose of this measurement is therapeutic drug monitoring (TDM), which assesses whether the patient's current dosage falls within a safe and effective range. Results are critical for managing conditions such as epilepsy or bipolar disorder. If levels are too low, it may suggest that the dose needs to be increased; conversely, high levels could indicate an overdose risk requiring immediate adjustment of care."
IMCAP B. TROPICALIS (D20),"This test detects materials from *B. tropicalis*, a bacteria that can cause certain tropical illnesses, helping confirm exposure or infection.","This laboratory test measures specific components of the bacterium *B. tropicalis*. It is ordered to help determine if an individual has been exposed to or infected by this pathogen, which causes various tropical diseases. The results indicate whether these bacterial materials are present in the sample; a positive result suggests potential infection but does not confirm a diagnosis on its own. Physicians interpret these findings alongside your symptoms, medical history, and physical exam results to determine the cause of illness."
CHLORIDE,"This test measures the amount of chloride, a key salt found in your blood. It helps doctors assess how well your kidneys are managing body fluids and salts.","Chloride is an essential electrolyte, or mineral salt, that plays a critical role in maintaining the balance of fluids throughout the body. Doctors order this test primarily to evaluate kidney function and overall fluid status. The results help determine if there are imbalances caused by conditions like dehydration, excessive vomiting, or issues with how the kidneys are filtering waste. Abnormal levels may indicate problems with the heart, digestive system, or kidneys, requiring further medical attention."
VALPROIC ACID FREE,This test measures the amount of valproic acid in your blood. Low levels suggest that the medication is either absent or has been metabolized and cleared from the body.,"This test quantifies the concentration of valproic acid, a common medication used to manage conditions such as seizures or mood disorders. It is ordered primarily for therapeutic drug monitoring, which helps healthcare providers ensure that the dosage of the medicine remains within a safe and effective range. The measured results help determine if the current dose is appropriate for your body's needs. Very low levels may suggest that the medication has been cleared from the system or that dosing compliance is an issue, while high levels could indicate toxicity or improper metabolism."
TETANUS & DIPTH IGG,"This test measures specific antibodies in your blood that indicate immunity to Tetanus and Diphtheria, usually due to prior vaccination.","The Tetanus & Diphtheria IgG test measures the presence of specific antibodies (IgG) in the blood. These antibodies are part of the immune system's memory and confirm if a person has protective immunity against these two serious diseases. This test is ordered to assess immunization status, helping healthcare providers determine if booster shots are needed. High levels of these antibodies suggest adequate protection; however, low or negative results may indicate that vaccination is required. Tetanus can cause painful muscle spasms, while Diphtheria affects the throat and heart."
"Active Chickenpox (Varicella) DNA Test - PCR Blood Test - Varicella-Zoster Virus DNA, Qualitative, Real-Time PCR",This test detects genetic material (DNA) from the Varicella-Zoster Virus in your blood. A positive result suggests the virus is currently active.,"This laboratory test measures the presence of specific DNA from the Varicella-Zoster Virus directly in a blood sample. It is used to determine if the virus is actively replicating or present in the bloodstream, which helps clinicians evaluate for an acute infection. A positive result indicates that the genetic material of the virus was detected by the specialized testing method. However, this test alone cannot diagnose the illness; results must be interpreted alongside your symptoms and physical examination findings."
IMCAP T. RUBRUM (M205),"This test checks for the presence of *T. rubrum*, a parasite found in certain body fluids. It detects specific genetic material belonging to this organism.","The IMCAP T. RUBRUM assay measures the genetic material (DNA) of *Trypanosoma rubrum*, which is a type of parasite that can cause infections. This test is typically ordered when a doctor suspects an infection caused by this specific parasite, often in cases involving chronic or unexplained symptoms. A positive result indicates that the parasite's DNA was found in the sample, suggesting active infection; however, these results must be interpreted alongside your medical history and physical exam findings. The presence of the organism’s material helps guide treatment decisions for managing the condition."
BASIC METAB PNL W/O CA,"This test measures key substances in your blood, including electrolytes and markers for kidney and liver function. It helps doctors assess how well your body's basic metabolic processes are working.","The Basic Metabolic Panel evaluates the concentration of several vital substances in your blood, providing a snapshot of overall bodily function. Markers measured include electrolytes (such as sodium and potassium), which are essential for nerve and muscle signaling, along with indicators of kidney waste removal (creatinine) and blood sugar levels (glucose). Physicians order this test to evaluate metabolic balance when assessing symptoms like fatigue or changes in urination patterns. Abnormal results may suggest issues with the kidneys, liver function, or an imbalance in necessary minerals. These results are always interpreted by a healthcare provider alongside your medical history and physical examination findings."
Hepatic Function Panel without Total Protein,This test measures several substances in your blood that help doctors evaluate how well your liver is working. It checks for markers of liver cell damage and the liver's ability to process waste.,"The Hepatic Function Panel without Total Protein evaluates various markers in the blood to assess overall liver health and function. These measurements include enzymes, which can indicate if liver cells are damaged, and proteins, which show the liver’s capacity to perform essential tasks like filtering waste or building necessary substances. Doctors order this test when they need to evaluate potential liver injury, monitor chronic liver conditions, or investigate symptoms such as jaundice (yellowing of the skin). Abnormal results may suggest issues with bile flow, inflammation, or impaired liver synthesis, but these findings must be interpreted alongside your medical history and physical examination."
ELECTROLYTE PANEL,"This test measures the levels of key minerals, called electrolytes, in your blood, such as sodium and potassium. These minerals are essential for maintaining proper nerve and muscle function.","The electrolyte panel measures the concentrations of several vital minerals, including sodium, potassium, chloride, and calcium, found in your blood. Electrolytes are critical because they help maintain fluid balance and electrical signals necessary for normal bodily functions. Doctors order this test to evaluate potential imbalances that could affect heart rhythm, nerve function, or muscle contraction. For instance, abnormal levels can signal issues with kidney function, dehydration, or the effects of certain medications. The results assist healthcare providers in monitoring overall mineral status and determining if an underlying medical condition is disrupting the body's electrical balance."
T-3 Free,"This test measures free T-3, which is the active form of thyroid hormone circulating in your blood. It helps doctors assess how well your body's metabolism is regulated by this key hormone.","The Free T-3 test measures the amount of triiodothyronine (T3) that is unbound and actively available to tissues throughout the body. This hormone, produced by the thyroid gland, plays a critical role in regulating your overall metabolic rate. Doctors order this test to evaluate thyroid function and determine if there is an imbalance in how hormones are circulating. Abnormal results may indicate issues with the thyroid gland itself or problems with how the body processes these hormones; for example, low levels can be associated with hypothyroidism (an underactive thyroid). The results must always be interpreted alongside your symptoms, medical history, and physical exam findings."
FSH 6 SPEC,"This test measures Follicle-Stimulating Hormone (FSH), a hormone that helps regulate egg production in women. Levels can help doctors evaluate reproductive health.","The FSH test measures the concentration of Follicle-Stimulating Hormone in your blood. This hormone is part of the body's system that controls the development and release of eggs, making it a key marker for evaluating overall reproductive function. Doctors typically order this test to assess ovarian reserve or when investigating potential causes of infertility. Elevated or low levels may suggest issues with either the ovaries themselves or the pituitary gland, but these results must always be interpreted by your healthcare provider alongside your medical history and physical exam findings."
FSH 7 SPEC,"This test measures Follicle-Stimulating Hormone (FSH), a hormone that helps regulate reproductive function. It provides information about the health of your ovaries or testes.","Follicle-Stimulating Hormone (FSH) is a pituitary gland hormone essential for regulating the reproductive system in both men and women. This blood test measures the concentration of FSH to evaluate overall reproductive endocrine function. Doctors typically order this test when assessing ovarian reserve, investigating menstrual cycle irregularities, or evaluating fertility concerns. Elevated or low levels may suggest issues with the ovaries, testes, or the pituitary gland itself. The results are interpreted by a healthcare provider alongside your medical history and physical exam findings."
FSH 8 SPEC,"This test measures Follicle-Stimulating Hormone (FSH), a hormone in the blood that helps regulate reproductive functions, such as egg development.","The FSH test measures the concentration of Follicle-Stimulating Hormone in the bloodstream. This hormone is released by the pituitary gland and plays a key role in regulating the menstrual cycle and supporting the maturation of eggs. Physicians typically order this test to evaluate reproductive health, especially when investigating potential causes of infertility or assessing ovarian function. Elevated FSH levels may suggest that the ovaries are not functioning as expected, while very low levels could indicate issues with the pituitary gland itself. The results help guide further testing and treatment plans."
FSH 9 SPEC,"This test measures Follicle-Stimulating Hormone (FSH), a hormone that helps regulate reproductive function. Levels can help doctors evaluate ovarian health and overall fertility.","The FSH test measures the concentration of Follicle-Stimulating Hormone in the blood. This hormone is part of the body's system that controls reproductive organs, making this test useful for evaluating overall reproductive health. Doctors typically order this test to assess ovarian function or when investigating potential causes of difficulty conceiving. Elevated levels may suggest lower ovarian reserve, while other patterns can help pinpoint if the issue lies with the ovaries or another gland. The results are used by healthcare providers in conjunction with a patient's medical history and physical exam findings."
LH 6 SPEC,This test measures the level of Luteinizing Hormone (LH) in your blood. LH is a key hormone involved in regulating menstrual cycles and overall reproductive health.,"Luteinizing Hormone (LH) is a pituitary hormone that plays a critical role in regulating the reproductive system, stimulating hormones necessary for ovulation and maintaining normal menstrual cycles. This test measures the concentration of LH in your blood to help evaluate hormonal balance. Doctors typically order this test when investigating irregular periods, fertility concerns, or suspected endocrine imbalances. The results are interpreted by comparing your levels to established reference ranges; abnormal findings may suggest conditions affecting the ovaries, pituitary gland, or other reproductive organs."
LH 7 SPEC,"This test measures Luteinizing Hormone (LH), a hormone that helps regulate reproductive cycles and function by stimulating the ovaries or testes.","Luteinizing Hormone (LH) is a key hormone released into the bloodstream that signals the reproductive organs, such as the ovaries or testes, to perform their functions. Doctors order this test primarily to evaluate hormonal balance and assess potential issues with fertility or menstrual cycle regularity. The results help determine if the pituitary gland—the body's master regulator of hormones—is functioning correctly. Elevated or low levels may suggest underlying conditions affecting hormone production or reproductive health, guiding further diagnosis and treatment plans."
LH 8 SPEC,This test measures Luteinizing Hormone (LH) levels in your blood. LH is a hormone that helps regulate reproductive cycles and pituitary gland function.,"Luteinizing Hormone (LH) is a key hormone produced by the pituitary gland that plays a major role in regulating the menstrual cycle and overall reproductive health. This test measures the concentration of LH in your blood to help doctors evaluate how well the endocrine system is functioning. Physicians typically order this test when investigating irregular periods, fertility concerns, or suspected hormonal imbalances. The results are interpreted alongside other symptoms, medical history, and physical exam findings to determine if hormone levels fall within a normal range for reproductive function."
LH 9 SPEC,"This test measures Luteinizing Hormone (LH), a hormone that helps regulate reproductive cycles and pituitary gland function.","Luteinizing Hormone (LH) is a key hormone released by the pituitary gland that plays a major role in regulating the menstrual cycle and supporting reproductive health. This blood test measures the concentration of LH to help evaluate how well the endocrine system, particularly the pituitary gland, is functioning. Doctors typically order this test when investigating irregular periods, fertility concerns, or suspected issues with hormonal balance. Elevated or low levels may suggest underlying problems affecting the ovaries, testes, or the glands that control hormone release. The results are interpreted by a healthcare provider alongside your symptoms and medical history."
LIPOPROTEIN (A),This test measures the level of Lipoprotein(a) in your blood. High levels indicate a protein associated with fats that may increase the risk of heart and blood vessel issues.,"Lipoprotein(a) is a specific type of protein found in the blood that contributes to plaque buildup within the arteries. This test measures the concentration of this protein, which is important because elevated levels are linked to an increased risk of developing cardiovascular disease, such as heart attack and stroke. The result helps your healthcare provider assess your overall risk profile when combined with factors like family history and other cholesterol measurements. It is used for evaluating long-term cardiovascular risk rather than diagnosing a specific acute event."
"Troponin I, High Sensitivity","Measures Troponin I, a protein found in heart muscle cells. Elevated levels in the blood suggest damage or stress to the heart muscle.","Troponin I is a specific protein located within the heart muscle. When the heart muscle experiences injury or significant stress, this protein leaks into the bloodstream. This test measures the amount of Troponin I present in the blood, providing an indicator of potential damage to the cardiac tissue. Physicians typically order this test when a patient presents with symptoms like chest pain, as it helps evaluate whether the heart muscle has been damaged. Elevated levels suggest that injury has occurred and require further medical evaluation; however, these results must always be interpreted alongside the patient's symptoms, physical exam findings, and medical history."
"Helicobacter pylori Antigen, EIA, Stool","This test detects specific proteins (antigens) from *Helicobacter pylori*, a common bacteria that can cause stomach irritation, in your stool sample.","The purpose of this test is to detect the presence of antigens—specific components—from *Helicobacter pylori* bacteria shed into the stool. This procedure helps healthcare providers determine if an individual has an active infection with this bacterium. While many people carry *H. pylori*, detecting its antigens in the stool can help diagnose conditions like gastritis or peptic ulcers, which are inflammation or sores in the stomach lining. A positive result suggests current colonization by the bacteria and may prompt further treatment to reduce the risk of complications."
GAD-65 AB,"This test measures antibodies that target the GAD-65 protein, an enzyme found in nerve cells. Detecting these specific antibodies can help evaluate for autoimmune conditions.","The GAD-65 antibody test detects autoantibodies—proteins made by the immune system that mistakenly attack the body's own tissues—specifically those targeting the GAD-65 enzyme. This test is typically ordered to help investigate potential autoimmune disorders, such as certain types of encephalomyelitis or type 1 diabetes, when symptoms suggest an underlying problem with the nervous system. A positive result indicates that these specific antibodies are present in the blood, suggesting an immune reaction against the body's own cells. However, a positive test result does not confirm a diagnosis on its own and must be interpreted by a healthcare provider alongside your medical history, physical exam findings, and other lab results."
"ESTRIOL, SERUM","This test measures estriol, a type of estrogen hormone found in the blood. It helps assess overall reproductive hormone levels.","Estriol is an estrogen hormone that plays a role in regulating reproductive health and is measured in the serum (blood). This test is ordered to evaluate hormonal balance, particularly when assessing ovarian function or monitoring pregnancy status. The level of estriol can provide information about how well the body's endocrine system is functioning at that time. While results help healthcare providers understand hormone patterns, they are used only as part of a complete evaluation and cannot diagnose a specific condition on their own."
IMCAP WALNUT (F256),"This test examines your DNA for a specific genetic marker, IMPAC WALNUT (F256). It determines if certain variations are present in the sample.","This molecular diagnostic test analyzes genetic material from the provided sample to detect the presence of a specific biomarker known as IMPAC WALNUT (F256). Physicians order this test when they need to evaluate potential risk factors or confirm a diagnosis based on established genetic patterns. A positive result indicates that the specific marker is detectable, which can help guide treatment decisions for certain conditions. However, these results must always be interpreted by your healthcare provider in conjunction with your full medical history and physical examination findings."
COLD HEMAGGLUTININS,This test checks for antibodies in your blood that cause red blood cells to clump together when cooled. It helps detect specific immune responses against certain pathogens.,"The COLD HEMAGGLUTININS test measures specific antibodies present in the blood that react with and cause red blood cells to clump (agglutinate) at cooler temperatures. This type of testing is ordered by healthcare providers to help evaluate potential infections or determine if the immune system has mounted a response against certain pathogens. A positive result suggests the presence of these antibodies, indicating an immune reaction; however, this finding must always be interpreted alongside your symptoms and medical history. These results are used as part of a diagnostic process, not as a standalone diagnosis."
GTT 2 SPEC,This test measures blood glucose levels over time after consuming a measured amount of sugar. It helps determine how well your body processes and manages sugar.,"The Glucose Tolerance Test (GTT) assesses the body's ability to manage blood sugar, or glucose, after ingesting a standardized sugary drink. When ordered, this test evaluates whether the pancreas and insulin system are working correctly to keep glucose levels stable. Elevated readings may indicate impaired glucose tolerance or diabetes mellitus, conditions where the body struggles to process sugar efficiently. Results help healthcare providers determine if lifestyle changes or further medical management is needed."
"PTH, INTACT W/O CAL.",This test measures the level of intact Parathyroid Hormone (PTH) in your blood. PTH is a hormone that helps regulate calcium levels throughout the body.,"Parathyroid Hormone (PTH) is a key hormone responsible for maintaining stable calcium levels in the blood, a process called calcium homeostasis. This quantitative test measures the amount of intact PTH circulating in the bloodstream. It is typically ordered when a patient presents with symptoms or lab results suggesting abnormal calcium levels (either too high or too low). The measured level helps healthcare providers evaluate if the parathyroid glands are functioning correctly. Abnormal results may indicate conditions such as primary hyperparathyroidism, which involves the overproduction of PTH."
HEMOGLOBINOPATHY,This evaluation checks the structure and amount of hemoglobin in your blood to identify potential disorders affecting red blood cells.,"Hemoglobinopathy refers to a group of conditions that affect the structure or quantity of hemoglobin, the protein inside red blood cells responsible for carrying oxygen. This diagnostic panel is ordered when a patient shows signs of anemia (low red blood cell count) or when physical examination and other lab results suggest an abnormality in how red blood cells are formed. The testing evaluates both the overall number of red blood cells and the specific proteins they contain, helping to identify underlying conditions such as sickle cell disease or thalassemia. These findings help healthcare providers determine the cause of oxygen-carrying issues and guide appropriate treatment."
HCV RNA BY PCRQT,This test measures the amount of Hepatitis C Virus genetic material (RNA) in your blood. It helps doctors determine if the virus is currently active or how well a treatment is working.,"The HCV RNA test detects specific pieces of genetic material from the Hepatitis C Virus within the bloodstream. Because it measures the actual viral load, this test is used to confirm an active infection and monitor whether a person’s body is responding to antiviral treatments. High levels of detectable RNA suggest that the virus is actively replicating in the body; conversely, low or undetectable levels often indicate successful treatment or clearance of the virus. This information helps healthcare providers manage the condition and determine if further medical intervention is needed."
COOMBS DIRECT / DIRECT ANTIGLOBULIN TEST,This test detects if your red blood cells are coated with antibodies. A positive result suggests your immune system may be attacking your own red blood cells.,"The Coombs Direct Test measures whether foreign or self-antibodies (autoantibodies) are attached to the surface of your red blood cells. This test is typically ordered when a patient has unexplained anemia, meaning they have low red blood cell counts without an obvious cause. A positive result indicates that antibodies are coating the red blood cells, suggesting that the immune system is mistakenly attacking them. While this finding points toward an autoimmune process—such as autoimmune hemolytic anemia—it does not confirm a diagnosis on its own and requires correlation with symptoms, medical history, and other lab results."
RPR (DX) REFL FTA,"This test measures antibodies in your blood that may indicate exposure to syphilis, a sexually transmitted infection.","This panel of tests evaluates for specific antibodies related to syphilis. Syphilis is an infection caused by bacteria and can affect various parts of the body if untreated. Doctors order this test to screen for potential exposure or to monitor treatment effectiveness. The results help determine if antibodies are present, which suggests past or current infection. A positive result requires further evaluation by a healthcare provider because it does not confirm active disease on its own."
